# Rust crates linked into libtokenizers inside ai.djl.huggingface:tokenizers:0.38.0
# Generated by tools/third-party/refresh-tokenizers-crates.py from DJL v0.38.0's
# extensions/tokenizers/rust/Cargo.lock (normal deps, targets: x86_64-unknown-linux-gnu, aarch64-unknown-linux-gnu, aarch64-apple-darwin, x86_64-pc-windows-gnu).
# Columns: crate, version, licence (Cargo.toml), origin, licence text ids in third-party/texts
# ('-' = the crate ships no licence file; the generator uses the canonical SPDX text).
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	crates.io	861399f8c21c042b,8ada45cd9f843acf,23f18e03dc49df91
jni	0.21.1	MIT/Apache-2.0	crates.io	a60eea8175145316,fea1d5bf3dd71605
jni-sys	0.3.0	MIT/Apache-2.0	crates.io	b40930bbcf80744c,1d85bd754b04ceec
libc	0.2.174	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,a8d47ff51ca256f5
libloading	0.8.8	ISC	crates.io	b29f8b01452350c2
libm	0.2.15	MIT	crates.io	3823dda7cf046602
litemap	0.8.0	Unicode-3.0	crates.io	f367c1b8e1aa2624
log	0.4.27	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
macro_rules_attribute	0.2.2	Apache-2.0 OR MIT OR Zlib	crates.io	388e98b08de12ba8,603fb27ef3266ea5,1c41c0e19caa2c20
macro_rules_attribute-proc_macro	0.2.2	Apache-2.0 OR MIT OR Zlib	crates.io	388e98b08de12ba8,603fb27ef3266ea5,1c41c0e19caa2c20
memchr	2.7.5	Unlicense OR MIT	crates.io	01c266bced4a434d,0f96a83840e146e4,7e12e5df4bae12cb
memmap2	0.9.7	MIT OR Apache-2.0	crates.io	04ea4849dba9dcae,0d25d03b5ab49576
minimal-lexical	0.2.1	MIT/Apache-2.0	crates.io	8173d5c29b4f956d,23f18e03dc49df91,dbe1fff0fb1314b6
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	crates.io	4108245a1f2df9d4,0d542e0c8804e39a,799e9ca9d179295e,0a54e647fe541046
monostate	0.1.14	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
monostate-impl	0.1.14	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
nom	7.1.3	MIT	crates.io	4dbda04344456f09
num	0.4.3	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num-bigint	0.4.6	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num-complex	0.4.6	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num-integer	0.1.46	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num-iter	0.1.45	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num-rational	0.4.2	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num-traits	0.2.19	MIT OR Apache-2.0	crates.io	a60eea8175145316,6485b8ed310d3f03
num_cpus	1.17.0	MIT OR Apache-2.0	crates.io	a60eea8175145316,1626f2c950cee975
num_enum	0.7.4	BSD-3-Clause OR MIT OR Apache-2.0	crates.io	62c7a1e35f564068,0be96d891d00e0ae,23f18e03dc49df91
num_enum_derive	0.7.4	BSD-3-Clause OR MIT OR Apache-2.0	crates.io	62c7a1e35f564068,0be96d891d00e0ae,23f18e03dc49df91
number_prefix	0.4.0	MIT	crates.io	-
once_cell	1.21.3	MIT OR Apache-2.0	crates.io	a60eea8175145316,23f18e03dc49df91
onig	6.5.1	MIT	crates.io	e9c1238c5beb73c6
onig_sys	69.9.1	MIT	crates.io	71f321038b088358,70ba5469ea0bab6e
openssl	0.10.78	Apache-2.0	crates.io	f3d4287b4a21c517,b40930bbcf80744c
openssl-macros	0.1.1	MIT/Apache-2.0	crates.io	b40930bbcf80744c,ea5ab440900ab271
openssl-sys	0.9.114	MIT	crates.io	378f5840b258e277
option-ext	0.2.0	MPL-2.0	crates.io	66a3107d5ad6a058
paste	1.0.15	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
percent-encoding	2.3.1	MIT OR Apache-2.0	crates.io	a60eea8175145316,76e972ac0f4ddb11
pin-project-lite	0.2.16	Apache-2.0 OR MIT	crates.io	0d542e0c8804e39a,23f18e03dc49df91
portable-atomic	1.11.1	Apache-2.0 OR MIT	crates.io	0d542e0c8804e39a,23f18e03dc49df91
potential_utf	0.1.2	Unicode-3.0	crates.io	f367c1b8e1aa2624
ppv-lite86	0.2.21	MIT OR Apache-2.0	crates.io	0218327e7a480793,4cada0bd02ea3692
proc-macro-crate	3.3.0	MIT OR Apache-2.0	crates.io	8ada45cd9f843acf,23f18e03dc49df91
proc-macro2	1.0.95	MIT OR Apache-2.0	crates.io	62c7a1e35f564068,23f18e03dc49df91
pulp	0.18.22	MIT	crates.io	d64f878c89bd5f1e
pulp	0.21.5	MIT	crates.io	d64f878c89bd5f1e
